City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
458,Kismayo,SO,77.43,overcast clouds,-0.3582,42.5454,Tateyama Seaside Hotel
459,Katsuura,JP,76.35,clear sky,35.1333,140.3,Tateyama Seaside Hotel
460,Kasongo,CD,79.57,broken clouds,-4.45,26.6667,Tateyama Seaside Hotel
461,Rantoul,US,73.18,moderate rain,40.3084,-88.1559,Tateyama Seaside Hotel
464,Licheng,CN,78.21,scattered clouds,23.2955,113.8284,Tateyama Seaside Hotel
465,Nazarovo,RU,63.03,light rain,56.0064,90.3914,Tateyama Seaside Hotel
466,Buala,SB,79.59,light rain,-8.145,159.5921,Tateyama Seaside Hotel
468,Prizren,XK,69.44,overcast clouds,42.2139,20.7397,Tateyama Seaside Hotel
471,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Tateyama Seaside Hotel
472,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Tateyama Seaside Hotel
473,College,US,64.72,clear sky,64.8569,-147.8028,Tateyama Seaside Hotel
477,Pacific Grove,US,78.21,clear sky,36.6177,-121.9166,Tateyama Seaside Hotel
478,Goderich,CA,75.9,overcast clouds,43.7501,-81.7165,Tateyama Seaside Hotel
479,Teguise,ES,68.22,scattered clouds,29.0605,-13.564,Tateyama Seaside Hotel
481,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Tateyama Seaside Hotel
484,Roebourne,AU,67.15,clear sky,-20.7833,117.1333,Tateyama Seaside Hotel
485,Omaha,US,78.53,light rain,41.2586,-95.9378,Tateyama Seaside Hotel
486,Madrid,ES,80.02,few clouds,40.4165,-3.7026,Tateyama Seaside Hotel
487,Malanje,AO,68.32,few clouds,-9.5402,16.341,Tateyama Seaside Hotel
490,Ouango,CF,70.25,light rain,4.3133,22.5552,Tateyama Seaside Hotel
491,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Tateyama Seaside Hotel
493,Padang,ID,77.02,moderate rain,-0.9492,100.3543,Tateyama Seaside Hotel
494,Bocanda,CI,74.98,overcast clouds,7.0626,-4.4995,Tateyama Seaside Hotel
496,Sistranda,NO,69.76,scattered clouds,63.7256,8.834,Tateyama Seaside Hotel
497,Kaspiyskiy,RU,77.32,overcast clouds,45.3929,47.3707,Tateyama Seaside Hotel
500,Abha,SA,66.45,few clouds,18.2164,42.5053,Tateyama Seaside Hotel
503,Sorong,ID,76.75,light rain,-0.8833,131.25,Tateyama Seaside Hotel
505,Barcelos,PT,65.84,broken clouds,41.5388,-8.6151,Tateyama Seaside Hotel
506,Konstantinovskiy,RU,73.11,clear sky,57.8301,39.5899,Tateyama Seaside Hotel
507,Hualmay,PE,67.46,overcast clouds,-11.0964,-77.6139,Tateyama Seaside Hotel
512,Fukue,JP,74.88,overcast clouds,32.6881,128.8419,Tateyama Seaside Hotel
513,Beitbridge,ZW,65.37,overcast clouds,-22.2167,30.0,Tateyama Seaside Hotel
514,Inongo,CD,73.15,overcast clouds,-1.95,18.2667,Tateyama Seaside Hotel
515,Abu Samrah,SY,72.97,clear sky,35.3029,37.1841,Tateyama Seaside Hotel
516,Owando,CG,77.72,light rain,-0.4819,15.8999,Tateyama Seaside Hotel
519,Mazamari,PE,77.22,overcast clouds,-11.3258,-74.5308,Tateyama Seaside Hotel
521,Sudzha,RU,63.88,broken clouds,51.1976,35.2726,Tateyama Seaside Hotel
522,Nanakuli,US,80.46,clear sky,21.3906,-158.1547,Tateyama Seaside Hotel
523,Mogadishu,SO,77.85,scattered clouds,2.0371,45.3438,Tateyama Seaside Hotel
524,Kaihua,CN,66.51,broken clouds,23.3687,104.28,Tateyama Seaside Hotel
531,Bongandanga,CD,71.92,moderate rain,1.5,21.05,Tateyama Seaside Hotel
533,Thinadhoo,MV,81.77,scattered clouds,0.5333,72.9333,Tateyama Seaside Hotel
534,Saiki,JP,70.81,overcast clouds,32.95,131.9,Tateyama Seaside Hotel
535,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Tateyama Seaside Hotel
536,Nyimba,ZM,66.36,overcast clouds,-14.5566,30.8149,Tateyama Seaside Hotel
539,Alba,PL,71.85,overcast clouds,52.0324,23.1165,Tateyama Seaside Hotel
543,Westerland,DE,71.02,scattered clouds,54.9079,8.3033,Tateyama Seaside Hotel
546,Gamba,GA,70.39,few clouds,-2.65,10.0,Tateyama Seaside Hotel
547,Divnogorsk,RU,68.74,overcast clouds,55.9594,92.3619,Tateyama Seaside Hotel
548,Grand Gaube,MU,72.0,overcast clouds,-20.0064,57.6608,Tateyama Seaside Hotel
550,Myanaung,MM,80.56,overcast clouds,18.2833,95.3167,Tateyama Seaside Hotel
554,Moyale,KE,67.14,broken clouds,3.5167,39.0584,Tateyama Seaside Hotel
558,Whitehorse,CA,71.1,broken clouds,60.7161,-135.0538,Tateyama Seaside Hotel
560,San Remigio,PH,80.02,broken clouds,11.0809,123.9381,Tateyama Seaside Hotel
563,Moussoro,TD,79.66,moderate rain,13.6408,16.4901,Tateyama Seaside Hotel
565,Lashio,MM,67.77,scattered clouds,22.9333,97.75,Tateyama Seaside Hotel
